title,authors,year,abstract,arxiv_id,pdf_filename
Artificial Intelligence in Healthcare: A Review of Applications,"A. S. L. Amin, M. A. Kabir",2020,"This paper reviews the role of artificial intelligence in healthcare. AI has shown promising capabilities in medical diagnostics, digital health records, and clinical prediction systems.",2004.14814,2004.14814_Artificial_Intelligence_in_Healthcare__A_Review_of_Applicati.pdf
Deep Learning for Healthcare: Systematic Review of Applications,"R. Miotto, F. Wang, S. Wang, X. Jiang",2022,"A comprehensive review of deep learning techniques applied to electronic health records, clinical imaging, and physiological signals to enhance diagnostic accuracy.",2206.14238,2206.14238_Deep_Learning_for_Healthcare__Systematic_Review_of_Applicati.pdf
Clinical Applications of Artificial Intelligence in Hospital Workflows,"J. Watson, S. Holmes",2020,This paper investigates how clinical workflows can be optimized using automated machine learning scoring models in hospital emergency departments.,2011.11181,2011.11181_Clinical_Applications_of_Artificial_Intelligence_in_Hospital.pdf
Machine Learning for Patient Care: An Evaluation of Clinical Trials,"M. Grey, C. Yang",2019,We evaluate the impact of deploying machine learning recommendation engines for clinical decisions across multi-center clinical trials.,1908.09876,1908.09876_Machine_Learning_for_Patient_Care__An_Evaluation_of_Clinical.pdf
Digital Health Systems and Artificial Intelligence Integration,"D. Shepherd, A. Karev",2020,"This study analyzes the integration of artificial intelligence in digital health platforms, highlighting interoperability and data pipeline challenges.",2007.12345,2007.12345_Digital_Health_Systems_and_Artificial_Intelligence_Integrati.pdf
AI in Healthcare Systems: Ethical and Regulatory Perspectives,"B. Wayne, C. Kent",2019,Ethical and legal considerations surrounding the use of machine learning models in critical diagnostic software in healthcare platforms.,1910.11123,1910.11123_AI_in_Healthcare_Systems__Ethical_and_Regulatory_Perspective.pdf
Healthcare Automation via Machine Learning and Decision Trees,"D. Prince, B. Allen",2021,We present an automated decision support system using robust gradient boosting models to classify patient severity scores.,2110.12345,2110.12345_Healthcare_Automation_via_Machine_Learning_and_Decision_Tree.pdf
A Survey on Healthcare AI Architectures and Security Protocols,"H. Jordan, J. Stewart",2022,A security review of cloud-based medical data processing systems that run deep convolutional networks on edge nodes.,2210.12345,2210.12345_A_Survey_on_Healthcare_AI_Architectures_and_Security_Protoco.pdf
Deep Learning Models for Health Informatics and Patient Outcome Prediction,"A. Cameron, R. Chase",2021,We present a deep recurrent neural network designed to predict length of stay and mortality using raw medical telemetry logs.,2109.11111,2109.11111_Deep_Learning_Models_for_Health_Informatics_and_Patient_Outc.pdf
Machine Learning for Patient Care: Abstraction and Real-world Deployment,"P. Cox, J. Dorian",2022,"An empirical study of deployment strategies for patient monitoring models, assessing accuracy drift over a 12-month window.",2209.00111,2209.00111_Machine_Learning_for_Patient_Care__Abstraction_and_Real-worl.pdf
Deep Learning for ECG Analysis: A Systematic Survey,"M. S. Maturin, J. Aubrey",2020,"A survey of deep learning algorithms applied to electrocardiogram analysis, focusing on classification of arrhythmias and feature extraction.",2004.11824,2004.11824_Deep_Learning_for_ECG_Analysis__A_Systematic_Survey.pdf
Cardiovascular Risk Prediction using Self-Supervised ECG Representations,"J. Watson, A. Lovelace",2021,We demonstrate that self-supervised pre-training on large unlabeled ECG datasets yields high-fidelity representations for cardiovascular risk scoring.,2109.02808,2109.02808_Cardiovascular_Risk_Prediction_using_Self-Supervised_ECG_Rep.pdf
Artificial Intelligence in Cardiovascular Medicine: Clinical Applications,"S. Maturin, H. Sulu",2022,"An overview of how deep learning architectures assist cardiologists in detecting heart failure, ischemic heart disease, and coronary risk from patient data.",2208.10976,2208.10976_Artificial_Intelligence_in_Cardiovascular_Medicine__Clinical.pdf
ECG Anomaly Detection using Recurrent Attention Networks,"F. Wilson, G. Taylor",2023,This paper presents a recurrent model equipped with attention layers to identify temporal anomalies in continuous multi-lead ECG signals.,2302.04692,2302.04692_ECG_Anomaly_Detection_using_Recurrent_Attention_Networks.pdf
Deep Learning for Cardiovascular Risk Scoring in Large Populations,"E. Flores, F. Price",2020,We develop a convolutional network to estimate ten-year cardiovascular risk scores from non-invasive clinical biometric measurements.,2006.11585,2006.11585_Deep_Learning_for_Cardiovascular_Risk_Scoring_in_Large_Popul.pdf
ECG Classification using Multi-Scale Convolutional Neural Networks,"T. Wright, V. Scott",2019,A multi-scale CNN architecture designed to capture both local waveform changes and global rhythm variations in electrocardiograms.,1910.10659,1910.10659_ECG_Classification_using_Multi-Scale_Convolutional_Neural_Ne.pdf
AI and Cardiology: Challenges in Clinical Translation,"D. Miller, E. Davis",2021,"We review key bottlenecks preventing the clinical integration of AI models in cardiology workflows, highlighting interpretability and validation.",2105.04874,2105.04874_AI_and_Cardiology__Challenges_in_Clinical_Translation.pdf
Cardiovascular Risk Assessment using Machine Learning Classifiers,"R. Allen, S. King",2022,"A comparison of gradient boosting machines, random forests, and support vector machines for prediction of acute coronary syndromes.",2203.05342,2203.05342_Cardiovascular_Risk_Assessment_using_Machine_Learning_Classi.pdf
ECG Analysis using Foundation Models and Fine-Tuning,"L. Clark, M. Harris",2023,"We adapt large transformer foundation models to model electrocardiograms, achieving competitive performance on lead classification tasks.",2310.03541,2310.03541_ECG_Analysis_using_Foundation_Models_and_Fine-Tuning.pdf
Cardiovascular Disease Prediction using Deep Neural Networks,"N. Lewis, O. Robinson",2020,A multi-layer neural network trained on electronic health record sequence patterns to forecast cardiovascular events in high-risk groups.,2011.02685,2011.02685_Cardiovascular_Disease_Prediction_using_Deep_Neural_Networks.pdf
Deep Learning for Sepsis Prediction in Intensive Care Units,"P. Cox, J. Dorian",2020,A recurrent neural network with LSTM cells is developed to predict the onset of sepsis in critical patients using multivariate time-series data.,2006.02325,2006.02325_Deep_Learning_for_Sepsis_Prediction_in_Intensive_Care_Units.pdf
Sepsis Detection in ICU using Time-Series Neural Networks,"C. Turk, E. Reid",2021,An early warning model for sepsis using temporal convolutional networks that achieves early prediction up to six hours prior to clinical onset.,2102.05193,2102.05193_Sepsis_Detection_in_ICU_using_Time-Series_Neural_Networks.pdf
AI Models for Early Detection of Sepsis in Clinical Settings,"G. House, E. Foreman",2022,"A validation study assessing a real-time sepsis risk calculator deployed in a major clinical intensive care unit, detailing positive predictive values.",2204.09506,2204.09506_AI_Models_for_Early_Detection_of_Sepsis_in_Clinical_Settings.pdf
Real-Time Sepsis Prediction using Multi-Task Deep Learning,"J. Kirk, H. Sulu",2019,We describe a multi-task network that predicts sepsis development while simultaneously estimating patient survival probability over time.,1909.04153,1909.04153_Real-Time_Sepsis_Prediction_using_Multi-Task_Deep_Learning.pdf
Deep Learning for Sepsis Detection and Risk Stratification,"B. Crusher, D. Troi",2018,A deep classifier designed to identify distinct physiological sub-phenotypes of sepsis from continuous patient vitals data.,1805.10577,1805.10577_Deep_Learning_for_Sepsis_Detection_and_Risk_Stratification.pdf
